,Unnamed: 0,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,senti
0,1,RT @Simon_Bolivar69: ¬°SEGUID EL EJEMPLO DE BRASIL! &gt; Fuera los corruptos. Dilma Rousseff FORA. #Brasil #Venezuela #Vzla #Patria #Pueblo htt‚?¶,False,0,,2016-03-14 08:12:24,False,,709291074884411392,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RUNRUNESS,1,True,False,,,Neutro
1,2,RT @GenPenaloza: BRASIL Ola de protestas con millones de personas contra Dilma recorre a todo el pais. Ver foto https://t.co/CTqY426aTZ,False,0,,2016-03-14 08:12:22,False,,709291066600648704,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",PAZVENEZUELA7,219,True,False,,,Neutro
2,3,"RT @letrapreta: Se eu fosse a Dilma agora chutava o pau da barraca: liberava o aborto, legalizava a maconha e taxava as grandes fortunas. T‚?¶",False,0,,2016-03-14 08:12:17,False,,709291044790267904,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",itsjunobrega,3205,True,False,,,Neutro
3,4,RT @tdevilsadvocat: gente que absurdo essa mo√ßa n√£o pode protestar porque tava passando as pr√≥prias roupas culpa da Dilma e do PT https://t‚?¶,False,0,,2016-03-14 08:12:12,False,,709291023378333696,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mazzeveras,399,True,False,,,Neutro
4,5,"RT @SureKamhunga: Biggest protest in Brazil history taking place now,, estimates of 3m, they are fed up with president Dilma Rousseff https‚?¶",False,0,,2016-03-14 08:12:12,False,,709291022682034176,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TonwaTai,4,True,False,,,Neutro
5,6,Br√©sil : manifestation historique contre Dilma Rousseff https://t.co/Qa5HRFE6Ep https://t.co/ZGsAcUafGa,False,0,,2016-03-14 08:12:02,False,,709290979229114368,,"<a href=""https://secure.echoboxapp.com"" rel=""nofollow"">Echobox Social</a>",lobs,2,False,False,,,Neutro
6,7,#roussef macht the #merkel for #brazil .. Was nur eine million ?! #ltw #sa #bw #rlp 'horror' government .. https://t.co/7CCNhXsUPU,False,0,,2016-03-14 08:12:01,False,,709290975722655746,,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>",DjValentino45,0,False,False,,,Negativo
7,8,RT @LeHuffPost: Trois millions de Br√©siliens dans la rue pour demander le d√©part de Dilma Roussef https://t.co/HzGcOT6KvL,False,0,,2016-03-14 08:11:56,False,,709290955728404480,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",p_chateau,9,True,False,,,Neutro
8,9,Semana decisiva para Dilma e o PT: https://t.co/ZapkwJaRha,False,0,,2016-03-14 08:11:44,False,,709290903630974976,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",historianderson,0,False,False,,,Neutro
9,10,RT @HugoSantaromita: ASOMBROSO: ahora vean en video la gigantesca protesta hoy #13M en S√¢o Paulo #Brasil contra Dilma Rousseff. https://t.c‚?¶,False,0,,2016-03-14 08:11:42,False,,709290897779720192,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gabrielparada05,95,True,False,,,Neutro
10,11,O que espera o governo Dilma nessa semana decisiva: https://t.co/ZapkwITfSA,False,0,,2016-03-14 08:11:32,False,,709290853706047488,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",historianderson,0,False,False,,,Neutro
11,12,Caminhoneiros v√£o parar em apoio ao impeachment de Dilma ¬¥trambique` https://t.co/cSwXSSdJAx,False,0,,2016-03-14 08:11:28,False,,709290840166948864,,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",sprang_bill,0,False,False,,,Neutro
12,13,"RT @reinaldoazevedo: 3,5 milh√µes foram √†s ruas contra o PT, contra Dilma, contra Lula e contra a roubalheira https://t.co/YvOAberc4A via @v‚?¶",False,0,,2016-03-14 08:11:28,False,,709290838841491456,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lobaoentrevista,21,True,False,,,Positivo
13,14,RT @SPIEGELONLINE: Massenproteste in Brasilien: Hunderttausende demonstrieren gegen Pr√§sidentin Rousseff https://t.co/LNlGvmM97Y https://t.‚?¶,False,0,,2016-03-14 08:11:26,False,,709290830041731072,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CherylHowell20,8,True,False,,,Neutro
14,15,"RT @MCCdoBrasil: N√£o deu Faust√£o! 
Calma coxinhas vcs poder√£o vaiar a Dilma na abertura das olimp√≠adas 2016 
Vamos aos fatos https://t.co/i‚?¶",False,0,,2016-03-14 08:11:23,False,,709290817362513920,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",rogerio_sinesio,170,True,False,,,Neutro
15,16,RT @leJDD: EN IMAGES. Manifestations monstres contre Dilma Roussef au Br√©sil https://t.co/jBUDOFkBka https://t.co/WeyY95ublQ,False,0,,2016-03-14 08:11:22,False,,709290813763805184,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aforefreer,4,True,False,,,Neutro
